Education,JoiningYear,City,PaymentTier,Age,Gender,EverBenched,ExperienceInCurrentDomain,LeaveOrNot
Bachelors,2017,Bangalore,3,34,M,false,0,false
Bachelors,2013,Pune,1,28,F,false,3,true
Bachelors,2014,New delhi,3,38,F,false,2,false
Masters,2016,Bangalore,3,27,M,false,5,true
Masters,2017,Pune,3,24,M,true,2,true
Bachelors,2016,Bangalore,3,22,M,false,0,false
Bachelors,2015,New delhi,3,38,M,false,0,false
Bachelors,2016,Bangalore,3,34,F,false,2,true
Bachelors,2016,Pune,3,23,M,false,1,false
Masters,2017,New delhi,2,37,M,false,2,false
Masters,2012,Bangalore,3,27,M,false,5,true
Bachelors,2016,Pune,3,34,M,false,3,false
Bachelors,2018,Pune,3,32,M,true,5,true
Bachelors,2016,Bangalore,3,39,M,false,2,false
Bachelors,2012,Bangalore,3,37,M,false,4,false
Bachelors,2017,Bangalore,1,29,M,false,3,false
Bachelors,2014,Bangalore,3,34,F,false,2,false
Bachelors,2014,Pune,3,34,M,false,4,false
Bachelors,2015,Pune,2,30,F,false,0,true
Bachelors,2016,New delhi,2,22,F,false,0,true
Bachelors,2012,Bangalore,3,37,M,false,0,false
Masters,2017,New delhi,2,28,M,false,4,false
Bachelors,2017,New delhi,2,36,M,false,3,false
Bachelors,2015,Bangalore,3,27,M,true,5,false
Bachelors,2017,Bangalore,3,29,M,false,4,false
Bachelors,2013,Bangalore,3,22,F,true,0,false
Bachelors,2016,Bangalore,3,37,M,false,2,false
Bachelors,2015,Bangalore,3,23,M,false,1,false
Bachelors,2013,Pune,2,31,F,false,2,true
Masters,2017,New delhi,2,30,F,false,2,false
PHD,2013,New delhi,3,25,M,false,3,false
Bachelors,2014,Bangalore,3,23,M,false,1,false
Bachelors,2018,Bangalore,3,26,M,false,4,true
Bachelors,2016,Bangalore,3,40,M,false,5,false
Bachelors,2017,Pune,2,37,F,false,0,true
Bachelors,2014,Bangalore,1,30,F,false,3,false
Bachelors,2012,New delhi,3,29,M,false,3,false
Bachelors,2018,New delhi,2,34,F,false,0,true
